Submitter ID,SampleType,D50,LOI mg/kg,Li7(LR),B11(LR),Na23(MR),Mg25(MR),Al27(MR),P31(MR),S32(MR),K39(HR),Ca42(MR),Sc45(MR),Ti49(MR),V51(MR),Cr52(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga71(LR),As75(HR),Se82(LR),Rb85(LR),Sr88(MR),Y89(LR),Nb93(LR),Mo95(LR),Rh103(LR),Pd105(LR),Ag109(LR),Cd111(LR),Sn118(LR),Sb121(LR),Cs133(LR),Ba138(MR),La139(LR),Ce140(LR),Pr141(LR),Nd146(LR),Sm149(LR),Eu151(LR),Dy163(LR),Ho165(LR),Yb172(LR),W184(LR),Pt195(LR),Tl205(LR),Pb(sum),Bi209(LR),Th232(LR),U238(LR)
PLCEOFSS20180831,EOF SS,0.00256158,99217,28.5854013,62.68548092,6002.888941,10008.6157,43690.88258,1115.314917,852.899747,31022.94218,18813.52269,7.95931507,4648.047813,84.38631047,65.87485578,525.9555874,34302.21704,11.81503098,30.8119824,35.65472565,97.96607254,16.80805286,3.47285333,0.61133516,35.82737087,104.5390745,10.19464251,11.93928568,0.62098085,0.00628038,0.4483247,0.23719656,0.30274151,4.31175546,0.46854357,2.77667331,428.7914643,8.9868396,15.88737069,2.62479751,10.63367854,2.34131563,0.58015962,2.188,0.451,1.52562066,1.00346662,0.01756037,0.58212082,19.09399914,0.18646856,4.90454291,2.86448475
PLCFESS20180508,EOF SS,0.00135023,124496,46.64539994,71.45525742,4366.816863,8709.004732,55369.44807,1466.144105,819.3265692,30951.78908,9283.619991,11.29099831,4913.040042,106.6617643,83.71858227,477.2619982,40431.01898,13.68095859,41.37039848,39.90853082,121.0450219,21.79905927,5.14850441,2.14371104,46.13932943,83.31783467,16.24973761,13.773057,0.81642513,0.01053529,1.28019691,0.48255257,0.65725743,7.54464044,0.52571948,3.64988709,495.1726597,17.53994069,40.81163638,5.1867556,20.67960558,4.36057767,1.08748025,3.65449348,0.74207084,2.19017525,1.29182238,0.03351226,0.74245342,23.78526389,0.27698755,10.02264822,4.57314995
PLCURSS20180625,UrbReg SS,0.0016413,80404,39.21063437,66.94751221,4895.938682,7001.49398,47878.23375,1041.626558,575.4882456,31846.99065,8555.876861,9.13652757,4870.658741,94.846048,72.15504335,506.1638203,35968.34856,14.02622531,37.02642491,36.22749374,174.1978724,20.30955861,3.36168716,1.03757861,29.95993705,100.8633993,10.36028887,13.40590325,0.53981713,0.01239026,0.85045002,0.42570526,0.43998989,8.06271866,0.50485486,2.98694727,471.8948472,10.14621007,26.86295638,3.39522191,13.68558948,2.95501457,0.81278862,2.63656785,0.53196393,1.71409054,1.13564559,0.03898467,0.6804849,20.67569355,0.22792029,7.68169482,3.27570172
PLUM-BED-90,Bed,0.00142391,53900,37.1444227,77.482753,7265.746441,27010.3211,58505.602,1308.134954,1375.705313,29471.17883,48246.11707,11.7023493,4129.146525,81.62476514,60.58681075,675.9599685,35297.24067,13.76708193,34.83442793,33.61511251,74.64208029,16.6987007,4.24804785,15.80320145,86.88599178,189.3927923,22.58039736,11.11339019,0.51523021,0.01485762,6.06822236,1.0036565,0.28610152,1.93308192,0.46494979,2.42110093,471.991871,24.91408237,55.41078742,7.61466157,24.6646397,5.71695234,1.39039895,4.8324879,0.97704245,2.91524141,1.07848527,0.16120004,0.54689063,15.55767289,0.14650811,9.48582432,2.77677965
PLUM-BED-91,Bed,0.00284211,76100,29.35761728,58.47427314,7295.38224,9548.226746,44749.485,1288.157021,946.2627046,27554.33947,18285.25984,6.85647155,4750.516435,81.37586955,62.39908951,660.9432977,33243.27458,13.33857554,29.92702428,29.97524682,107.2528912,17.22591565,3.0891014,5.63296513,51.83591539,107.7875262,17.90798784,12.45110256,0.55808825,0.01317409,2.58142277,0.66156052,0.45200441,2.15599043,0.46686707,2.97959591,427.1749334,19.37464806,28.61808238,3.89929406,17.64902388,3.65661883,0.96384328,3.41335671,0.66855054,2.24321228,1.24991046,0.10984687,0.65597695,20.1648495,0.19356181,7.09582319,3.01804174
PLUM-BED-92,Bed,0.00124409,83500,45.16549062,79.0451886,6974.683289,20382.61594,57239.88903,980.2765816,1435.939124,30072.39228,39803.43925,10.57280516,4582.706503,95.44915226,70.5759551,739.1342461,39375.89044,16.99293635,42.9714521,42.24895791,91.84708198,19.752041,4.22236402,5.331807,66.06677331,123.2367234,24.07439094,12.17282288,0.54446566,0.01245119,5.7096078,1.02141005,0.34473444,2.11344591,0.49035406,3.53794188,488.3279831,23.48018765,51.0992312,6.8339319,24.84060283,5.85566128,1.41737385,5.08013585,1.05132941,3.19896994,1.81820229,0.15976461,0.6125942,15.73510785,0.16543731,9.76988782,3.21687542
PLUM-WALLING-03 ,Gage SS,0.00154545,89100,32.59659763,77.23315233,5609.660208,26394.96749,65546.47651,1767.592257,931.501884,30689.2715,42425.59657,11.84386843,4307.372332,88.07906405,65.5389167,754.3299554,36840.41829,14.39322801,33.79194738,39.08202812,99.29704722,16.47104536,3.83412226,1.15168916,92.27921407,182.4374113,23.4512999,11.67184473,0.59263196,0.0269664,2.10319812,0.33492182,0.35531225,2.2860344,0.47003634,3.391743,482.0076306,29.93407235,63.16121812,7.258339,27.81606455,5.24870877,1.17709613,4.3011323,0.85503543,2.48649535,1.0505966,0.04496507,0.53399991,15.62944766,0.23174289,8.92307329,2.38960955
PLUM-WALLING-04    ,Gage SS,0.00178906,76600,33.90805222,85.83307836,3220.565016,29932.56019,37757.12178,1234.63429,534.8495881,32524.03356,24269.15087,12.47864509,2454.458669,92.54551991,67.75225324,663.666259,21123.61105,14.78219996,34.70969328,36.88070135,86.33249738,17.36744923,4.58486974,0.85186355,87.88088175,129.5051968,25.29172646,11.88822221,0.55502462,0.0132431,2.28265616,0.42530122,0.34144618,2.32474698,0.57637012,3.51331857,487.3445676,32.06711572,68.0057368,7.72033013,29.97832494,5.82171652,1.28872349,4.71374535,0.93227089,2.66923892,1.02653276,0.04076393,0.53820033,15.31888051,0.14716169,9.41336089,2.58853882
PLUM-WALLING-11M,Gage SS,0.00229476,81479.1,31.87111007,85.68227693,12565.42742,23742.4802,50396.23043,2096.259642,2713.952053,27328.50187,54291.35371,9.67191876,3747.750672,75.62347694,60.00272598,1530.983046,35206.4136,14.97464603,32.61606901,26.77827394,111.0844099,16.3421087,3.36761152,1.35046121,82.94974145,696.9964879,21.7496282,10.62408728,0.58583957,0.02983572,2.02063279,0.31152402,0.23079532,10.94893812,0.43569954,3.02985024,447.3574041,23.92674512,54.66926648,6.57072806,25.64829892,5.09382561,1.16050245,4.32753237,0.8812567,2.55658713,0.88962386,0.03945042,0.46627747,16.49651206,0.17252422,8.29002602,2.28611535
PLUM-WALLING-12M,Gage SS,0.003579546,156806,30.83857282,62.74599914,5764.061,19692.62917,49280.39054,3954.578463,2599.922735,26541.78148,33095.47636,8.48550015,3818.515756,92.39180518,61.43231843,422.0721244,40409.04668,11.1684142,30.46701736,58.16995551,129.5473345,16.05606667,3.43952371,1.50129453,58.45934457,317.0470604,17.51136846,10.72235723,1.25071873,0.01681108,1.54581829,0.35203148,0.32614714,2.58237345,0.5387634,3.05556414,444.3163213,16.96639479,35.37401969,4.46482609,17.85148266,3.78117346,0.9068866,3.45666402,0.7126074,2.15527846,1.93886175,0.04011799,0.55094024,101.3849888,0.77922956,6.92041325,2.65203074
